Car_ID,Brand,Model_Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Horsepower,Price
153,BMW,2012,1.1,Diesel,Automatic,16319,2,3,119,32598.050000000003
154,Hyundai,2019,2.2,Petrol,Manual,11475,2,4,258,49782.25
155,Ford,2012,3.0,Hybrid,Automatic,150800,3,1,366,53026.0
156,Hyundai,2021,1.2,Diesel,Manual,34545,4,3,83,39894.75
157,BMW,2016,3.0,Hybrid,Automatic,101636,2,2,301,49521.2
158,BMW,2012,4.7,Diesel,Manual,197828,3,4,330,53863.6
159,Tesla,2018,1.4,Diesel,Automatic,174771,2,2,261,39513.45
160,Ford,2008,4.1,Petrol,Manual,172893,2,4,272,45504.35
161,Honda,2005,2.6,Electric,Manual,35615,4,3,330,45371.25
162,Honda,2005,3.6,Electric,Automatic,18746,2,4,182,39564.7
163,Hyundai,2023,2.0,Diesel,Manual,158817,2,1,105,42935.15
164,Tesla,2020,1.6,Petrol,Automatic,6245,4,2,148,44173.75
165,Toyota,2018,1.6,Hybrid,Automatic,122408,4,1,344,47706.6
166,Hyundai,2020,1.3,Hybrid,Manual,117143,4,2,347,48402.85
167,Tesla,2009,1.7,Diesel,Manual,160925,4,2,231,33193.75
168,Ford,2013,3.7,Electric,Manual,32632,3,4,381,59961.4
169,Ford,2006,4.5,Petrol,Manual,17856,3,3,86,41856.2
170,Ford,2022,4.3,Electric,Manual,192965,3,3,273,53163.75
171,Ford,2010,3.7,Hybrid,Automatic,73049,2,1,86,44086.55
172,Ford,2013,1.4,Electric,Manual,63182,4,4,271,39943.9
173,Tesla,2005,2.2,Hybrid,Automatic,138873,4,3,279,33014.35
174,Tesla,2013,2.2,Petrol,Manual,175821,3,2,147,36896.95
175,BMW,2020,2.0,Petrol,Manual,60654,2,2,125,42248.3
176,Honda,2017,3.1,Diesel,Manual,60381,2,4,149,43852.95
177,Ford,2013,3.1,Diesel,Automatic,63601,2,1,375,55550.95
178,Toyota,2017,2.4,Electric,Manual,151154,3,4,127,34143.3
179,Tesla,2013,2.4,Petrol,Automatic,150720,2,1,87,35358.0
180,Toyota,2015,4.3,Petrol,Automatic,5364,2,4,277,56738.8
181,Toyota,2008,4.2,Diesel,Automatic,170640,2,2,204,41728.0
182,Toyota,2006,2.2,Hybrid,Manual,12436,4,4,79,28828.199999999997
183,BMW,2010,4.7,Electric,Automatic,91713,3,3,138,44894.35
184,Tesla,2018,4.8,Electric,Manual,162826,4,3,152,50014.7
185,Toyota,2008,2.3,Diesel,Automatic,65194,4,4,178,34080.3
186,Ford,2010,2.4,Petrol,Manual,29544,3,1,113,39204.8
187,Hyundai,2023,3.0,Diesel,Automatic,196252,4,1,201,47620.4
188,Toyota,2010,4.8,Diesel,Manual,68295,2,2,87,44249.25
189,BMW,2006,4.5,Diesel,Manual,148710,2,2,162,42045.5
190,Tesla,2022,1.4,Diesel,Manual,74409,2,1,363,56825.55
191,BMW,2017,2.6,Hybrid,Automatic,131839,2,4,217,44971.05
192,Toyota,2013,3.2,Hybrid,Automatic,118759,3,2,241,48245.05
193,Tesla,2023,3.0,Petrol,Manual,22157,4,1,120,52606.15
194,Hyundai,2017,1.8,Diesel,Automatic,181637,4,1,88,32053.15
195,Toyota,2015,4.4,Hybrid,Automatic,70888,2,4,189,50554.6
196,BMW,2005,3.7,Petrol,Automatic,192167,2,3,393,45760.65
197,Honda,2011,4.4,Diesel,Automatic,69947,4,1,294,57802.65
198,Ford,2019,4.4,Electric,Automatic,75880,3,2,135,53634.0
199,BMW,2005,4.0,Hybrid,Automatic,9507,4,4,210,47091.65
200,Tesla,2016,2.8,Petrol,Automatic,108134,2,4,258,45068.3
201,Toyota,2011,3.4,Electric,Manual,48988,2,4,227,45666.6
202,Ford,2019,1.6,Diesel,Manual,103421,3,3,167,38145.95
203,Toyota,2023,3.7,Diesel,Automatic,152937,4,3,227,54418.15
204,Tesla,2005,1.7,Diesel,Manual,107591,3,2,315,34111.45
205,Toyota,2021,3.8,Hybrid,Manual,134614,3,2,305,60116.3
206,Honda,2021,1.9,Petrol,Manual,32213,2,4,102,41738.35
207,Ford,2007,1.5,Electric,Automatic,192026,4,2,310,34834.7
208,Ford,2016,1.7,Petrol,Automatic,62450,2,1,399,56037.5
209,Tesla,2010,1.0,Hybrid,Automatic,140549,4,3,344,38048.55
210,Honda,2015,3.9,Petrol,Automatic,67222,2,4,140,46394.9
211,BMW,2007,3.9,Hybrid,Automatic,142605,2,4,382,50180.75
212,Toyota,2012,3.1,Diesel,Manual,185467,4,1,285,45444.65
213,Hyundai,2018,1.6,Electric,Automatic,159468,4,1,148,38907.6
214,Toyota,2018,1.3,Diesel,Manual,17755,2,1,238,44278.25
215,Toyota,2014,1.1,Petrol,Automatic,136937,4,1,367,43030.15
216,BMW,2006,1.7,Diesel,Manual,147245,2,4,249,28639.75
217,Toyota,2018,4.6,Electric,Automatic,194977,4,3,185,49388.15
218,Honda,2013,2.0,Diesel,Automatic,174169,2,3,329,42926.55
219,Honda,2007,2.4,Electric,Automatic,38371,2,1,329,47734.45
220,Ford,2012,1.4,Electric,Automatic,147326,2,2,74,27454.7
221,Tesla,2020,1.9,Diesel,Automatic,140090,3,4,366,50950.5
222,Hyundai,2006,3.1,Hybrid,Automatic,10192,4,3,177,43582.4
223,Toyota,2010,3.4,Petrol,Manual,7015,2,1,186,50466.25
224,Toyota,2016,2.0,Hybrid,Automatic,113154,3,2,82,33885.3
225,BMW,2009,1.2,Hybrid,Manual,33343,2,2,211,34294.85
226,Tesla,2006,2.6,Diesel,Automatic,74306,3,1,257,43637.7
227,Honda,2020,1.9,Petrol,Manual,10829,2,4,350,56892.55
228,Hyundai,2009,1.9,Petrol,Manual,39381,2,3,184,33949.95
229,Ford,2019,4.8,Hybrid,Manual,116451,3,2,305,60302.45
230,Honda,2016,3.5,Diesel,Manual,23263,3,3,79,47563.85
231,Tesla,2008,3.2,Petrol,Manual,189332,4,3,268,36941.4
232,Ford,2019,2.7,Hybrid,Manual,179378,4,2,321,46842.1
233,BMW,2015,2.7,Petrol,Automatic,63418,3,1,119,41544.1
234,BMW,2020,3.2,Diesel,Manual,5148,4,2,211,55577.6
235,Toyota,2010,3.8,Diesel,Automatic,137826,3,2,340,49262.7
236,Tesla,2018,3.8,Diesel,Automatic,31745,4,4,85,46690.75
237,Hyundai,2022,1.7,Petrol,Manual,77914,2,3,71,37380.3
238,Ford,2016,3.0,Electric,Manual,191905,4,1,227,45270.75
239,Honda,2015,2.6,Petrol,Automatic,156212,2,3,99,37381.4
240,Tesla,2017,4.5,Electric,Manual,65653,2,2,151,56926.35
241,Tesla,2015,3.5,Diesel,Manual,197593,4,1,100,41642.35
242,BMW,2020,3.1,Hybrid,Manual,83315,3,1,305,56026.25
243,Toyota,2019,1.5,Electric,Manual,36075,2,1,217,45399.25
244,Toyota,2019,3.4,Diesel,Manual,166769,2,1,246,50663.55
245,Ford,2008,1.5,Diesel,Manual,190616,4,4,104,21838.199999999997
246,BMW,2015,2.3,Electric,Manual,14795,3,1,92,39641.25
247,Tesla,2023,1.6,Hybrid,Automatic,69555,3,2,175,47653.25
248,Hyundai,2019,3.8,Diesel,Manual,188276,4,4,166,43110.2
249,BMW,2008,1.8,Electric,Automatic,108107,3,2,299,40762.65
250,Ford,2017,2.6,Hybrid,Automatic,56529,4,2,296,55467.55
251,Ford,2023,4.6,Hybrid,Automatic,147744,4,3,169,55865.8
252,BMW,2006,1.8,Diesel,Automatic,190310,4,1,124,23719.5
253,Ford,2018,3.0,Petrol,Manual,172022,2,1,264,50180.9
254,BMW,2008,2.7,Petrol,Automatic,16009,2,2,77,38709.55
255,Honda,2020,1.1,Diesel,Automatic,183168,2,1,384,48498.6
256,BMW,2018,4.2,Hybrid,Automatic,155616,4,4,197,52287.2
257,BMW,2019,1.3,Diesel,Automatic,191800,2,3,101,27945.0
258,Ford,2007,2.9,Electric,Automatic,34381,2,1,162,44152.95
259,Ford,2012,3.2,Petrol,Manual,132769,2,1,76,38078.55
260,Toyota,2020,3.5,Electric,Manual,161359,4,4,327,52449.05
261,Toyota,2014,3.8,Diesel,Automatic,69610,4,3,289,54177.5
262,Honda,2008,2.0,Diesel,Manual,73122,4,4,309,40387.9
263,Toyota,2022,1.0,Hybrid,Manual,73184,2,2,175,43479.8
264,BMW,2006,3.9,Hybrid,Automatic,176153,3,2,105,35517.35
265,Ford,2021,3.1,Hybrid,Automatic,181384,2,1,114,43376.8
266,Toyota,2017,4.3,Electric,Automatic,92228,2,3,367,62628.6
267,Toyota,2008,4.3,Hybrid,Manual,77943,4,2,378,59252.85
268,Honda,2015,4.4,Diesel,Automatic,85770,4,4,78,43144.5
269,Tesla,2011,2.9,Hybrid,Manual,57726,2,2,156,39614.7
270,Honda,2016,2.3,Petrol,Manual,158283,2,2,246,43348.85
271,BMW,2014,4.2,Hybrid,Manual,165552,3,4,199,43001.4
272,Ford,2011,2.8,Electric,Automatic,52780,3,1,264,47700.0
273,Honda,2017,1.7,Petrol,Manual,193210,4,3,80,30810.5
274,Toyota,2011,4.4,Petrol,Automatic,47503,3,1,375,62133.85
275,Ford,2021,4.5,Petrol,Automatic,62893,3,4,191,56563.35
276,Ford,2014,2.9,Electric,Automatic,182265,4,2,304,45759.75
277,Toyota,2014,1.3,Diesel,Automatic,66358,3,3,100,33532.1
278,Honda,2008,2.6,Hybrid,Automatic,85857,2,1,293,45406.15
279,Toyota,2008,4.2,Petrol,Manual,125457,3,4,222,44013.15
280,Tesla,2011,4.6,Petrol,Manual,158189,4,2,281,52037.55
281,Ford,2005,1.8,Petrol,Manual,195128,2,2,161,25805.6
282,Hyundai,2016,1.3,Diesel,Manual,122928,3,1,198,39913.6
283,Hyundai,2017,4.5,Diesel,Manual,63706,2,4,266,56434.7
284,BMW,2014,2.6,Electric,Automatic,145548,2,2,111,34113.6
285,Toyota,2019,3.2,Diesel,Automatic,87806,3,2,297,55973.7
286,Toyota,2017,4.9,Hybrid,Manual,60006,3,3,263,64192.7
287,BMW,2013,1.3,Electric,Manual,92238,4,2,87,28361.1
288,BMW,2013,3.6,Electric,Manual,199227,4,1,312,51347.65
289,BMW,2019,1.3,Hybrid,Automatic,50798,2,4,345,50307.1
290,Ford,2014,2.5,Hybrid,Automatic,82271,4,4,196,39123.45
291,Tesla,2014,4.2,Hybrid,Automatic,35177,2,3,144,52494.15
292,Toyota,2012,2.7,Electric,Manual,133022,2,4,131,37685.9
293,Ford,2020,5.0,Electric,Manual,135156,4,1,357,65391.2
294,BMW,2021,3.2,Electric,Manual,87215,4,2,255,58126.25
295,Toyota,2009,2.3,Hybrid,Manual,48013,4,3,247,42129.35
296,Ford,2008,1.9,Hybrid,Automatic,87600,3,4,235,32609.0
297,Tesla,2022,2.4,Petrol,Manual,101099,2,3,252,47297.05
298,Ford,2023,2.5,Diesel,Manual,58450,2,3,97,48511.5
299,Tesla,2008,1.3,Petrol,Manual,184000,2,4,399,34071.0
300,BMW,2011,2.5,Hybrid,Automatic,127640,4,3,316,46281.0
301,Tesla,2014,2.9,Electric,Automatic,97403,4,4,91,37430.85
302,Toyota,2022,3.9,Hybrid,Manual,181454,4,1,165,48703.3
303,BMW,2023,3.6,Diesel,Automatic,104290,4,4,191,53293.5
304,Toyota,2008,3.8,Petrol,Automatic,136832,4,2,319,46643.4
305,Hyundai,2014,1.0,Petrol,Automatic,29142,3,4,377,44964.9
306,Honda,2005,1.9,Electric,Automatic,115189,4,2,395,41819.55
307,Tesla,2022,3.6,Petrol,Automatic,112532,2,3,206,51222.4
308,Honda,2009,2.9,Petrol,Manual,153362,4,4,346,41704.9
309,Honda,2019,1.0,Hybrid,Manual,136436,2,2,389,44784.2
310,Tesla,2021,4.2,Petrol,Manual,61921,4,4,130,51904.95
311,BMW,2007,4.1,Petrol,Automatic,24797,4,4,319,52751.15
312,Hyundai,2016,3.2,Petrol,Automatic,37535,2,4,164,46605.25
313,Toyota,2006,1.3,Electric,Automatic,51300,2,1,365,40288.0
314,Ford,2005,4.1,Electric,Automatic,52176,2,2,253,45911.2
315,Toyota,2021,3.3,Hybrid,Manual,21105,2,1,329,63674.75
316,Ford,2020,4.1,Petrol,Manual,144011,3,1,356,61395.45
317,Toyota,2009,4.0,Electric,Manual,84472,2,2,224,49974.4
318,Tesla,2019,4.2,Electric,Manual,178101,4,4,255,54814.95
319,Hyundai,2007,3.1,Hybrid,Manual,151935,4,1,138,34528.25
320,Ford,2011,1.6,Diesel,Manual,83097,3,1,395,47361.15
321,BMW,2015,3.7,Petrol,Automatic,146519,2,1,330,55819.05
322,Toyota,2014,3.5,Electric,Automatic,101160,4,4,184,44584.0
323,Toyota,2013,4.0,Hybrid,Manual,51940,3,1,77,48741.0
324,Ford,2018,1.7,Hybrid,Automatic,90001,4,3,334,49120.95
325,BMW,2017,1.8,Hybrid,Manual,155714,3,2,340,45178.3
326,BMW,2006,4.6,Electric,Manual,12928,3,3,318,58283.6
327,Tesla,2007,4.0,Petrol,Automatic,53002,2,4,174,46102.9
328,Tesla,2011,4.6,Diesel,Manual,89853,3,1,332,61877.35
329,Tesla,2022,4.0,Petrol,Manual,119614,4,2,293,58031.3
330,Tesla,2007,3.4,Hybrid,Manual,122517,4,1,397,52386.15
331,Tesla,2014,3.6,Hybrid,Automatic,161089,2,4,340,48149.55
332,Tesla,2011,4.6,Diesel,Automatic,84064,2,2,234,54051.8
333,Hyundai,2013,3.3,Petrol,Automatic,124694,3,3,152,41111.3
334,BMW,2021,3.5,Hybrid,Automatic,149385,2,2,364,56379.75
335,Tesla,2015,1.6,Hybrid,Manual,137631,4,1,203,38232.45
336,BMW,2011,2.9,Petrol,Automatic,55893,4,2,280,46191.35
337,BMW,2018,3.9,Hybrid,Automatic,20167,2,4,382,65628.65
338,Honda,2023,2.1,Petrol,Automatic,43598,2,4,161,46896.1
339,Hyundai,2008,1.8,Hybrid,Manual,143595,2,2,196,33476.25
340,Tesla,2010,2.3,Petrol,Automatic,54777,3,4,260,41516.15
341,Toyota,2014,2.0,Diesel,Automatic,164511,3,4,228,36898.45
342,Ford,2011,1.9,Hybrid,Manual,121378,4,4,79,28805.1
343,Toyota,2017,2.7,Diesel,Manual,86060,3,3,176,44329.0
344,Hyundai,2018,4.6,Hybrid,Manual,18285,3,1,156,57978.75
345,Ford,2008,3.0,Hybrid,Manual,147045,3,4,136,32739.75
346,Hyundai,2012,1.8,Electric,Automatic,127970,3,2,131,33562.5
347,BMW,2009,1.3,Petrol,Manual,27694,4,4,215,36245.3
348,Ford,2005,3.8,Diesel,Automatic,171846,2,3,222,36191.7
349,BMW,2008,2.5,Diesel,Automatic,140374,4,2,176,36021.3
350,Toyota,2007,4.3,Diesel,Automatic,158463,3,1,217,44945.85
351,Toyota,2013,3.6,Petrol,Automatic,9611,2,2,255,55425.45
352,Ford,2012,4.2,Electric,Automatic,14372,2,2,247,58685.4
353,Ford,2005,2.1,Diesel,Manual,160384,2,2,335,37513.8
354,Tesla,2010,3.8,Petrol,Automatic,150152,4,2,218,46083.4
355,Hyundai,2013,2.1,Hybrid,Automatic,85618,2,4,316,45445.1
356,Tesla,2011,4.8,Diesel,Automatic,117945,4,1,323,56208.75
357,Hyundai,2008,3.5,Diesel,Manual,113397,4,4,98,35191.15
358,Tesla,2017,2.3,Electric,Automatic,101213,3,3,335,52708.35
359,BMW,2021,2.1,Diesel,Automatic,25874,3,3,82,45999.3
360,Ford,2006,1.8,Diesel,Manual,198609,2,2,116,25114.55
361,Toyota,2009,3.8,Hybrid,Automatic,137669,2,4,220,41645.55
362,Hyundai,2016,1.9,Petrol,Automatic,16600,3,4,119,37712.0
363,Hyundai,2012,3.4,Petrol,Manual,139819,4,1,284,47693.05
364,Toyota,2010,2.1,Electric,Automatic,84415,4,1,201,37889.25
365,Tesla,2012,3.6,Hybrid,Automatic,160887,3,1,182,41638.65
366,Hyundai,2022,4.3,Petrol,Automatic,99348,4,4,321,61249.600000000006
367,BMW,2007,4.1,Hybrid,Automatic,110736,3,1,122,40526.2
368,Ford,2016,4.0,Petrol,Automatic,29714,3,1,199,55243.3
369,Toyota,2007,1.8,Hybrid,Manual,154962,2,1,393,40237.9
370,Ford,2010,1.4,Electric,Manual,197581,2,2,262,31672.949999999997
371,Hyundai,2006,3.8,Diesel,Manual,197896,3,3,148,36539.2
372,Hyundai,2016,2.5,Electric,Automatic,140797,2,3,126,36478.15
